root_shell,su_attempted,dst_host_same_src_port_rate,service_http,service_telnet,label
0.9999998,0.999999,0.9999974,0.99999994,0.9999992,4
0.9999997,0.99999803,0.9999949,0.9999998,0.9999988,4
0.99999684,0.99998444,0.9999698,0.9999981,0.9999893,4
0.9999994,0.99999726,0.99999267,0.9999997,0.9999973,4
0.9999992,0.9999942,0.99999017,0.99999946,0.9999965,4
0.99999833,0.99999374,0.99998367,0.9999991,0.9999943,4
0.9999997,0.99999803,0.9999941,0.9999998,0.99999857,4
0.9999992,0.9999962,0.99999034,0.9999995,0.9999974,4
0.9999999,0.99999905,0.9999982,1.0,0.9999995,4
0.9999997,0.9999976,0.99999523,0.99999976,0.99999857,4
0.99999464,0.99997485,0.9999549,0.99999714,0.99998724,4
0.9999987,0.9999931,0.999987,0.99999917,0.9999946,4
0.9999997,0.99999833,0.99999577,0.9999999,0.9999991,4
0.99999917,0.99999493,0.9999889,0.99999934,0.9999955,4
0.99999964,0.9999981,0.99999416,0.99999976,0.9999984,4
0.9999956,0.9999757,0.9999645,0.99999774,0.9999862,4
0.9999993,0.9999956,0.99999315,0.99999964,0.9999965,4
0.99999845,0.999993,0.9999852,0.9999992,0.9999954,4
0.99999964,0.9999972,0.9999954,0.9999998,0.9999986,4
0.99999964,0.99999803,0.99999446,0.99999976,0.99999833,4
0.9999997,0.99999833,0.9999963,0.9999998,0.9999992,4
1.0,0.9999998,0.9999997,1.0,0.9999999,4
0.99999946,0.999997,0.999993,0.99999964,0.999998,4
0.99999964,0.99999803,0.9999944,0.99999976,0.99999857,4
0.9999994,0.9999974,0.99999267,0.99999976,0.99999785,4
0.99999964,0.9999977,0.99999356,0.99999976,0.9999983,4
0.9999991,0.99999565,0.9999895,0.99999946,0.9999963,4
0.9999998,0.99999905,0.9999975,0.99999994,0.9999993,4
0.9999997,0.999998,0.9999952,0.9999998,0.9999989,4
0.9999996,0.9999968,0.99999446,0.99999976,0.9999983,4
